Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	549	384435270	slr1495	SYNGTS_0041	-	-	hypothetical protein	50246	51895	OF13
-	282	384435271	sll1397	SYNGTS_0042	-	-	transposase	52260	53108	OR1
-	224	384435272	sll1396	SYNGTS_0043	-	-	hypothetical protein	53453	54127	OR1
+	374	384435273	hypD	SYNGTS_0044	-	-	hydrogenase expression/formation protein HypD	54533	55657	OF14
-	293	384435274	rfbD	SYNGTS_0045	-	-	dTDP-6-deoxy-L-mannose-dehydrogenase	55669	56550	OR1
-	222	384435275	msrA	SYNGTS_0046	-	-	peptide methionine sulfoxide reductase	56556	57224	OR1
-	491	384435276	glgA	SYNGTS_0047	-	-	glycogen (starch) synthase	57340	58815	OR1
-	203	384435277	sll1392	SYNGTS_0048	-	-	hypothetical protein	59039	59650	OR1
+	225	384435278	slr1501	SYNGTS_0049	-	-	hypothetical protein	59746	60423	OF15
+	332	384435279	slr1113	SYNGTS_0050	-	-	ABC transporter	60524	61522	OF16
+	585	384435280	slr1114	SYNGTS_0051	-	-	hypothetical protein	61834	63591	OF17
+	257	384435281	slr1115	SYNGTS_0052	-	-	hypothetical protein	63588	64361	OF17
+	173	384435282	slr1116	SYNGTS_0053	-	-	hypothetical protein	64393	64914	OF17
+	253	384435283	slr1117	SYNGTS_0054	-	-	hypothetical protein	64987	65748	OF17
-	568	384435284	sll1064	SYNGTS_0055	-	-	hypothetical protein	65827	67533	OR1
+	251	384435285	rffM	SYNGTS_0056	-	-	UDP-N-acetyl-D-mannosaminuronic acid transferase	67606	68361	OF18
-	219	384435286	sll1063	SYNGTS_0057	-	-	hypothetical protein	68400	69059	OR1
+	233	384435287	slr1119	SYNGTS_0058	-	-	hypothetical protein	69284	69985	OF19
-	125	384435288	sll1062	SYNGTS_0059	-	-	hypothetical protein	70016	70393	OR1
-	171	384435289	sll1061	SYNGTS_0060	-	-	hypothetical protein	70420	70935	OR1
-	1032	384435290	sll1060	SYNGTS_0061	-	-	hypothetical protein	70944	74042	OR1
-	83	384435291	ssl2069	SYNGTS_0062	-	-	hypothetical protein	73978	74229	OR1
+	95	384435292	ssr1853	SYNGTS_0063	-	-	hypothetical protein	74498	74785	OF20
+	269	384435293	hofD	SYNGTS_0064	-	-	type 4 prepilin peptidase	74995	75804	OF21
-	181	384435294	adk	SYNGTS_0065	-	-	adenylate kinase	75955	76500	OR1
-	275	384435295	dapB	SYNGTS_0066	-	-	dihydrodipicolinate reductase	76580	77407	OR1
-	126	384435296	trx	SYNGTS_0067	-	-	thioredoxin M	77494	77874	OR1
-	777	384435297	purL	SYNGTS_0068	-	-	phosphoribosylformyl glycinamidine synthetase II	78467	80800	OR1
+	250	384435298	slr1122	SYNGTS_0069	-	-	hypothetical protein	80938	81690	OF22
-	187	384435299	sll1054	SYNGTS_0070	-	-	hypothetical protein	81696	82259	OR1
-	520	384435300	sll1053	SYNGTS_0071	-	-	hypothetical protein	82291	83853	OR1
+	191	384435301	gmk	SYNGTS_0072	-	-	guanylate kinase	84122	84697	OF23
+	443	384435302	gpmB	SYNGTS_0073	-	-	phosphoglycerate mutase	84776	86107	OF24
+	419	384435303	crtX	SYNGTS_0074	-	-	zeaxanthin glucosyl transferase	86159	87418	OF25
-	124	384435304	sll1052	SYNGTS_0075	-	-	hypothetical protein	87536	87910	OR1
-	214	384435305	cpcF	SYNGTS_0076	-	-	phycocyanin alpha phycocyanobilin lyase CpcF	88017	88661	OR1
-	564	384435306	sll1049	SYNGTS_0077	-	-	hypothetical protein	88818	90512	OR1
+	263	384435307	slr1127	SYNGTS_0078	-	-	hypothetical protein	90620	91411	OF26
+	321	384435308	slr1128	SYNGTS_0079	-	-	hypothetical protein	91517	92482	OF27
+	674	384435309	rne	SYNGTS_0080	-	-	ribonuclease E	93128	95152	OF28
+	190	384435310	rhnB	SYNGTS_0081	-	-	ribonuclease HII	95236	95808	OF29
-	136	384435311	mutT	SYNGTS_0082	-	-	mutator MutT protein	95818	96228	OR1
-	718	384435312	pnp	SYNGTS_0083	-	-	polyribonucleotide nucleotidyltransferase	96325	98481	OR1
-	196	384435313	lepB	SYNGTS_0084	-	-	leader peptidase I	98609	99199	OR1
+	463	384435314	me	SYNGTS_0085	-	-	malic enzyme	99402	100793	OF30
-	325	384435315	cysM	SYNGTS_0086	-	-	cysteine synthase	100794	101771	OR1
-	315	384435316	ipk	SYNGTS_0087	-	-	isopentenyl monophosphate kinase	101884	102831	OR1
-	726	384435317	sll0710	SYNGTS_0088	-	-	hypothetical protein	102930	105110	OR1
-	462	384435318	sll0709	SYNGTS_0089	-	-	restriction enzyme LlaI protein	105151	106539	OR1
-	284	384435319	ksgA	SYNGTS_0090	-	-	dimethyladenosine transferase	107471	108325	OR1
+	303	384435320	slr0722	SYNGTS_0091	-	-	hypothetical protein	108290	109201	OF31
+	363	384435321	slr0723	SYNGTS_0092	-	-	hypothetical protein	109222	110313	OF31
+	110	384435322	sohA	SYNGTS_0093	-	-	HtaR suppressor protein	110392	110724	OF31
+	138	384435323	slr0725	SYNGTS_0094	-	-	hypothetical protein	110808	111224	OF32
+	324	384435324	slr0727	SYNGTS_0095	-	-	hypothetical protein	111585	112559	OF33
+	387	384435325	slr0728	SYNGTS_0096	-	-	hypothetical protein	113025	114188	OF34
+	101	384435326	slr0729	SYNGTS_0097	-	-	hypothetical protein	114319	114624	OF35
+	132	384435327	slr0730	SYNGTS_0098	-	-	hypothetical protein	114874	115272	OF36
+	402	384435328	slr0731	SYNGTS_0099	-	-	hypothetical protein	115269	116477	OF36
-	391	384435329	nifS	SYNGTS_0100	-	-	NifS protein	116518	117693	OR1
+	155	384435330	slr0732	SYNGTS_0101	-	-	hypothetical protein	117869	118336	OF36
-	399	384435331	sll0703	SYNGTS_0102	-	-	hypothetical protein	118333	119532	OR1
-	130	384435332	sll0702	SYNGTS_0103	-	-	hypothetical protein	119570	119962	OR1
-	79	384435333	ssl1328	SYNGTS_0104	-	-	hypothetical protein	120298	120537	OR1
+	313	384435334	xerC	SYNGTS_0105	-	-	integrase-recombinase protein	120719	121660	OF37
-	94	384435335	ssl1326	SYNGTS_0106	-	-	hypothetical protein	121706	121990	OR1
+	372	384435336	slr0734	SYNGTS_0107	-	-	hypothetical protein	122287	123405	OF38
-	164	384435337	sll0700	SYNGTS_0108	-	-	transposase	123501	123995	OR1
-	119	384435338	sll0699	SYNGTS_0109	-	-	transposase	123989	124348	OR1
-	663	384435339	ycf26	SYNGTS_0110	-	-	sensory histidine kinase NblS/DspA/Dfr/Hik33	124452	126443	OR1
+	141	384435340	psaD	SYNGTS_0111	-	-	photosystem I subunit II	126639	127064	OF39
+	508	384435341	trpE	SYNGTS_0112	-	-	anthranilate synthase component I	127186	128712	OF40
+	302	384435342	crtE	SYNGTS_0113	-	-	geranylgeranyl pyrophosphate synthase	128802	129710	OF41
+	131	384435343	slr0740	SYNGTS_0114	-	-	hypothetical protein	129791	130186	OF42
-	290	384435344	sll0696	SYNGTS_0115	-	-	hypothetical protein	130167	131039	OR1
+	224	384435345	phoU	SYNGTS_0116	-	-	a negative regulator of pho regulon	131116	131790	OF43
+	176	384435346	slr0742	SYNGTS_0117	-	-	hypothetical protein	131877	132407	OF44
+	458	384435347	nusA	SYNGTS_0118	-	-	N utilization substance protein	132483	133859	OF45
+	84	384435348	ssr1238	SYNGTS_0119	-	-	hypothetical protein	133923	134177	OF46
+	1001	384435349	infB	SYNGTS_0120	-	-	translation initiation factor IF-2	134437	137442	OF47
+	222	384435350	slr0236	SYNGTS_0121	-	-	hypothetical protein	137444	138112	OF47
+	746	384435351	glgX	SYNGTS_0122	-	-	glycogen operon protein GlgX	138295	140535	OF47
+	140	384435352	slr0238	SYNGTS_0123	-	-	hypothetical protein	140585	141007	OF47
-	97	384435353	ssl0426	SYNGTS_0124	-	-	transposase	141123	141416	OR1
+	264	384435354	cbiF	SYNGTS_0125	-	-	precorrin methylase	141648	142442	OF47
+	140	384435355	slr0240	SYNGTS_0126	-	-	hypothetical protein	142559	142981	OF48
+	281	384435356	slr0241	SYNGTS_0127	-	-	hypothetical protein	142981	143826	OF48
+	160	384435357	bcp	SYNGTS_0128	-	-	bacterioferritin comigratory protein	144061	144543	OF48
+	175	384435358	slr0243	SYNGTS_0129	-	-	hypothetical protein	144554	145081	OF48
-	121	384435359	sll0230	SYNGTS_0130	-	-	hypothetical protein	145164	145529	OR1
+	284	384435360	slr0244	SYNGTS_0131	-	-	hypothetical protein	145761	146615	OF48
-	35	384435361	psbM	SYNGTS_0132	-	-	photosystem II protein PsbM	146724	146831	OR1
+	304	384435362	slr0245	SYNGTS_0133	-	-	acetylpolyamine aminohydolase	146980	147894	OF49
-	306	384435363	sll0228	SYNGTS_0134	-	-	arginase	148022	148942	OR1
-	246	384435364	ppiB	SYNGTS_0135	-	-	peptidyl-prolyl cis-trans isomerase B	148943	149683	OR1
-	188	384435365	ycf4	SYNGTS_0136	-	-	photosystem I assembly protein Ycf4	149889	150455	OR1
-	512	384435366	sll0225	SYNGTS_0137	-	-	hypothetical protein	150594	152132	OR1
-	298	384435367	sll0224	SYNGTS_0138	-	-	hypothetical protein	152154	153050	OR1
+	124	384435368	slr0249	SYNGTS_0139	-	-	hypothetical protein	153622	153996	OF50
+	178	384435369	slr0250	SYNGTS_0140	-	-	hypothetical protein	154143	154679	OF51
+	252	384435370	slr0251	SYNGTS_0141	-	-	ABC transporter	154703	155461	OF51
+	261	384435371	cobK	SYNGTS_0142	-	-	hypothetical protein	155473	156258	OF51
+	86	384435372	psaK	SYNGTS_0143	-	-	photosystem I subunit X	156391	156651	OF51
-	90	384435373	ssl0410	SYNGTS_0144	-	-	hypothetical protein	156741	157013	OR1
-	521	384435374	ndhB	SYNGTS_0145	-	-	NADH dehydrogenase subunit 2	157050	158615	OR1
-	326	384435375	phoA	SYNGTS_0146	-	-	alkaline phosphatase	158757	159737	OR1
-	49	384435376	sgl0002	SYNGTS_0147	-	-	hypothetical protein	159812	159961	OR1
-	29	384435377	petN	SYNGTS_0148	-	-	cytochrome B6-f complex subunit PetN	160004	160093	OR1
+	266	384435378	slr0254	SYNGTS_0149	-	-	hypothetical protein	160258	161058	OF52
-	184	384435379	bcp	SYNGTS_0150	-	-	bacterioferritin comigratory protein	161088	161642	OR1
-	631	384435380	glmS	SYNGTS_0151	-	-	L-glutamine:D-fructose-6-P amidotransferase	161768	163663	OR1
-	594	384435381	sll0219	SYNGTS_0152	-	-	potential FMN-protein	164037	165821	OR1
-	172	384435382	sll0218	SYNGTS_0153	-	-	hypothetical protein	165871	166389	OR1
-	578	384435383	sll0217	SYNGTS_0154	-	-	potential FMN-protein	166416	168152	OR1
+	462	384435384	ctpB	SYNGTS_0155	-	-	carboxyl-terminal protease	168533	169921	OF53
-	210	384435385	sll0216	SYNGTS_0156	-	-	hypothetical protein	169934	170566	OR1
+	422	384435386	slr1411	SYNGTS_0157	-	-	hypothetical protein	170572	171840	OF54
-	314	384435387	atpC	SYNGTS_0158	-	-	ATP synthase g subunit	171939	172883	OR1
-	503	384435388	atpA	SYNGTS_0159	-	-	ATP synthase a subunit	173014	174525	OR1
-	185	384435389	atpD	SYNGTS_0160	-	-	ATP synthase d subunit	174586	175143	OR1
-	179	384435390	atpF	SYNGTS_0161	-	-	ATP synthase subunit b	175143	175682	OR1
-	143	384435391	atpG	SYNGTS_0162	-	-	ATP synthase subunit b'	175708	176139	OR1
-	81	384435392	atpH	SYNGTS_0163	-	-	ATP synthase subunit c	176256	176501	OR1
-	248	384435393	atpI	SYNGTS_0164	-	-	ATP synthase subunit a	176693	177439	OR1
-	148	384435394	atp1	SYNGTS_0165	-	-	hypothetical protein	177592	178038	OR1
+	481	384435395	slr1413	SYNGTS_0166	-	-	hypothetical protein	178237	179682	OF55
+	437	384435396	slr1414	SYNGTS_0167	-	-	sensory transduction histidine kinase Hik11	179734	181047	OF56
+	382	384435397	slr1415	SYNGTS_0168	-	-	hypothetical protein	181073	182221	OF56
+	314	384435398	morR	SYNGTS_0169	-	-	MorR protein	182354	183298	OF56
+	118	384435399	slr1417	SYNGTS_0170	-	-	hypothetical protein	183493	183849	OF57
-	329	384435400	sll1319	SYNGTS_0171	-	-	hypothetical protein	183935	184924	OR1
-	222	384435401	sll1318	SYNGTS_0172	-	-	hypothetical protein	184968	185636	OR1
-	260	384435402	sll1041	SYNGTS_0173	-	-	ABC transporter	185772	186554	OR1
-	765	384435403	sll1040	SYNGTS_0174	-	-	hypothetical protein	186601	188898	OR1
+	195	384435404	folK	SYNGTS_0175	-	-	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	189128	189715	OF58
+	261	384435405	slr1094	SYNGTS_0176	-	-	hypothetical protein	190033	190818	OF59
-	379	384435406	sll1039	SYNGTS_0177	-	-	hypothetical protein	190815	191954	OR1
+	215	384435407	slr1095	SYNGTS_0178	-	-	hypothetical protein	192136	192783	OF60
+	478	384435408	phdD	SYNGTS_0179	-	-	dihydrolipoamide dehydrogenase	192870	194306	OF61
+	163	384435409	slr1097	SYNGTS_0180	-	-	hypothetical protein	194310	194801	OF61
+	252	384435410	slr1098	SYNGTS_0181	-	-	hypothetical protein	194859	195617	OF61
+	206	384435411	ubiX	SYNGTS_0182	-	-	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	195685	196305	OF62
+	126	384435412	slr1100	SYNGTS_0183	-	-	hypothetical protein	196611	196991	OF63
+	161	384435413	slr1101	SYNGTS_0184	-	-	hypothetical protein	197072	197557	OF64
+	853	384435414	slr1102	SYNGTS_0185	-	-	hypothetical protein	197624	200185	OF65
+	706	384435415	slr1103	SYNGTS_0186	-	-	hypothetical protein	200405	202525	OF66
+	613	384435416	slr1104	SYNGTS_0187	-	-	hypothetical protein	202554	204395	OF66
+	597	384435417	fus	SYNGTS_0188	-	-	elongation factor EF-G	204604	206397	OF66
-	491	384435418	sll1037	SYNGTS_0189	-	-	hypothetical protein	206863	208338	OR1
-	292	384435419	sll1036	SYNGTS_0190	-	-	hypothetical protein	208549	209427	OR1
-	99	384435420	ssl2009	SYNGTS_0191	-	-	hypothetical protein	209527	209826	OR1
-	216	384435421	upp	SYNGTS_0192	-	-	uracil phosphoribosyltransferase	209896	210546	OR1
+	282	384435422	phb	SYNGTS_0193	-	-	prohibitin	210781	211629	OF67
+	444	384435423	slr1107	SYNGTS_0194	-	-	hypothetical protein	211734	213068	OF68
-	668	384435424	sll1033	SYNGTS_0195	-	-	hypothetical protein	213031	215037	OR1
-	241	384435425	ccmN	SYNGTS_0196	-	-	hypothetical protein	215504	216229	OR1
-	669	384435426	ccmM	SYNGTS_0197	-	-	carbon dioxide concentrating mechanism protein CcmM	216264	218273	OR1
-	100	384435427	ccmL	SYNGTS_0198	-	-	carbon dioxide concentrating mechanism protein CcmL	218407	218709	OR1
-	111	384435428	ccmK1	SYNGTS_0199	-	-	carbon dioxide concentrating mechanism protein CcmK	218742	219077	OR1
-	103	384435429	ccmK2	SYNGTS_0200	-	-	carbon dioxide concentrating mechanism protein CcmK	219206	219517	OR1
-	494	384435430	gltD	SYNGTS_0201	-	-	NADH-glutamate synthase small subunit	219979	221463	OR1
+	441	384435431	ank	SYNGTS_0202	-	-	erythroid ankyrin	221742	223067	OF69
+	192	384435432	slr1110	SYNGTS_0203	-	-	hypothetical protein	223018	223596	OF69
+	377	384435433	slr1772	SYNGTS_0204	-	-	hypothetical protein	223673	224806	OF69
-	488	384435434	sll1686	SYNGTS_0205	-	-	hypothetical protein	224897	226363	OR1
+	56	384435435	ssr2972	SYNGTS_0206	-	-	hypothetical protein	226928	227098	OF70
+	258	384435436	slr1773	SYNGTS_0207	-	-	hypothetical protein	227123	227899	OF70
+	289	384435437	slr1774	SYNGTS_0208	-	-	hypothetical protein	227943	228812	OF70
+	566	384435438	slr1776	SYNGTS_0209	-	-	high affinity sulfate transporter	228866	230566	OF70
-	393	384435439	ycf10	SYNGTS_0210	-	-	heme-binding proton extrusion protein PcxA	230658	231839	OR1
+	676	384435440	chlD	SYNGTS_0211	-	-	Mg chelatase subunit	232008	234038	OF71
+	177	384435441	slr1778	SYNGTS_0212	-	-	hypothetical protein	234305	234838	OF72
-	483	384435442	cad	SYNGTS_0213	-	-	lysine decarboxylase	234905	236356	OR1
-	360	384435443	sll1682	SYNGTS_0214	-	-	alanine dehydrogenase	236356	237438	OR1
+	241	384435444	pdxJ	SYNGTS_0215	-	-	pyridoxine 5'-phosphate synthase	237600	238325	OF73
+	133	384435445	slr1780	SYNGTS_0216	-	-	hypothetical protein	238344	238745	OF73
-	507	384435446	sll1681	SYNGTS_0217	-	-	hypothetical protein	238804	240327	OR1
-	176	384435447	msrB	SYNGTS_0218	-	-	methionine sulfoxide reductase B	240299	240829	OR1
-	394	384435448	hhoA	SYNGTS_0219	-	-	protease	240863	242047	OR1
+	231	384435449	ycf29	SYNGTS_0220	-	-	NarL subfamily protein Rre1	242399	243094	OF73
+	328	384435450	bvdR	SYNGTS_0221	-	-	biliverdin reductase	243158	244144	OF74
-	182	384435451	sll1678	SYNGTS_0222	-	-	spore maturation protein A	244160	244708	OR1
-	217	384435452	sll1677	SYNGTS_0223	-	-	spore maturation protein B	244783	245436	OR1
-	505	384435453	malQ	SYNGTS_0224	-	-	4-alpha-glucanotransferase	245502	247019	OR1
-	150	384435454	sll1675	SYNGTS_0225	-	-	hypothetical protein	247117	247569	OR1
+	364	384435455	slr1787	SYNGTS_0226	-	-	thiamine monophosphate kinase	247619	248713	OF75
+	351	384435456	slr1788	SYNGTS_0227	-	-	hypothetical protein	249062	250117	OF76
+	493	384435457	slr1789	SYNGTS_0228	-	-	hypothetical protein	250160	251641	OF76
-	452	384435458	sll1673	SYNGTS_0229	-	-	regulatory component of sensory transduction system Rre2	251758	253116	OR1
-	834	384435459	sll1672	SYNGTS_0230	-	-	hybrid sensory kinase Hik12	253125	255629	OR1
-	160	384435460	sll1671	SYNGTS_0231	-	-	hypothetical protein	255823	256305	OR1
+	210	384435461	slr1790	SYNGTS_0232	-	-	hypothetical protein	256647	257279	OF76
+	249	384435462	cysH	SYNGTS_0233	-	-	3'-phosphoadenosine-5'-phosphosulfate sulfotransferase	257426	258175	OF77
-	378	384435463	hrcA	SYNGTS_0234	-	-	CIRCE-binding heat-inducible transcription repressor	258227	259363	OR1
-	189	384435464	aroK	SYNGTS_0235	-	-	shikimate kinase	259702	260271	OR1
+	391	384435465	talB	SYNGTS_0236	-	-	transaldolase	260463	261638	OF78
+	65	384435466	ssr2998	SYNGTS_0237	-	-	hypothetical protein	261863	262060	OF79
+	362	384435467	slr1794	SYNGTS_0238	-	-	hypothetical protein	262177	263265	OF80
+	214	384435468	msrA	SYNGTS_0239	-	-	methionine sulfoxide reductase A	263321	263965	OF81
+	95	384435469	ssr3000	SYNGTS_0240	-	-	hypothetical protein	264190	264477	OF82
-	266	384435470	mom72	SYNGTS_0241	-	-	mitochondrial outer membrane 72K protein	264516	265316	OR1
-	174	384435471	dnaJ	SYNGTS_0242	-	-	DnaJ protein	265414	265938	OR1
+	201	384435472	slr1796	SYNGTS_0243	-	-	hypothetical protein	265995	266600	OF83
-	589	384435473	sll1665	SYNGTS_0244	-	-	hypothetical protein	266702	268471	OR1
-	312	384435474	sll1664	SYNGTS_0245	-	-	hypothetical protein	268789	269727	OR1
-	220	384435475	sll1663	SYNGTS_0246	-	-	hypothetical protein	269773	270435	OR1
-	297	384435476	pheA	SYNGTS_0247	-	-	chorismate mutase /prephenate dehydratase	270476	271369	OR1
+	585	384435477	pleD	SYNGTS_0248	-	-	hypothetical protein	271600	273357	OF84
-	194	384435478	sll1660	SYNGTS_0249	-	-	hypothetical protein	273802	274386	OR1
-	392	384435479	cofH	SYNGTS_0250	-	-	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2	274502	275680	OR1
-	158	384435480	sll1658	SYNGTS_0251	-	-	hypothetical protein	275807	276283	OR1
+	637	384435481	slr1799	SYNGTS_0252	-	-	hypothetical protein	276429	278342	OF85
+	355	384435482	slr1800	SYNGTS_0253	-	-	hypothetical protein	278494	279561	OF86
-	191	384435483	sll1656	SYNGTS_0254	-	-	hypothetical protein	279512	280087	OR1
-	274	384435484	birA	SYNGTS_0255	-	-	biotin [acetyl-CoA-carboxylase] ligase	280127	280951	OR1
-	157	384435485	sll1654	SYNGTS_0256	-	-	hypothetical protein	280970	281443	OR1
-	238	384435486	menG	SYNGTS_0257	-	-	2-phytyl-1,4-benzoquinone methyltransferase	281507	282223	OR1
-	136	384435487	sll1652	SYNGTS_0258	-	-	hypothetical protein	282290	282700	OR1
+	475	384435488	icd	SYNGTS_0259	-	-	isocitrate dehydrogenase	283060	284487	OF87
+	190	384435489	slr1290	SYNGTS_0260	-	-	hypothetical protein	284508	285080	OF87
-	264	384435490	sll1201	SYNGTS_0261	-	-	hypothetical protein	285144	285938	OR1
+	559	384435491	ndhD2	SYNGTS_0262	-	-	NADH dehydrogenase subunit 4	286164	287843	OF87
-	391	384435492	sll1200	SYNGTS_0263	-	-	hypothetical protein	287929	289104	OR1
+	507	384435493	slr1293	SYNGTS_0264	-	-	hypothetical protein	289322	290845	OF88
+	90	384435494	ycf19	SYNGTS_0265	-	-	hypothetical protein	290902	291174	OF89
+	360	384435495	sufA	SYNGTS_0266	-	-	iron transport protein	291626	292708	OF90
-	231	384435496	trmD	SYNGTS_0267	-	-	tRNA (m1G37) methyltransferase	292790	293485	OR1
-	57	384435497	ssl2384	SYNGTS_0268	-	-	hypothetical protein	293496	293669	OR1
-	361	384435498	pfkA	SYNGTS_0269	-	-	phosphofructokinase	293878	294963	OR1
+	755	384435499	slr1298	SYNGTS_0270	-	-	hypothetical protein	295076	297343	OF91
-	131	384435500	psbU	SYNGTS_0271	-	-	photosystem II 12 kD extrinsic protein	297493	297888	OR1
-	165	384435501	sll1193	SYNGTS_0272	-	-	hypothetical protein	298083	298580	OR1
+	453	384435502	slr1299	SYNGTS_0273	-	-	UDP-glucose dehydrogenase	299522	300883	OF92
+	414	384435503	ubiH	SYNGTS_0274	-	-	2-octaprenyl-6-methoxyphenyl hydroxylase	301110	302354	OF93
-	140	384435504	sll1192	SYNGTS_0275	-	-	hypothetical protein	302367	302789	OR1
-	134	384435505	sll1191	SYNGTS_0276	-	-	hypothetical protein	302786	303190	OR1
+	65	384435506	ssr2153	SYNGTS_0277	-	-	hypothetical protein	303424	303621	OF94
+	535	384435507	slr1301	SYNGTS_0278	-	-	hypothetical protein	303939	305546	OF95
+	409	384435508	slr1302	SYNGTS_0279	-	-	hypothetical protein	305595	306824	OF95
+	410	384435509	slr1303	SYNGTS_0280	-	-	hypothetical protein	306844	308076	OF95
-	434	384435510	glcE	SYNGTS_0281	-	-	glycolate oxidase subunit GlcE	308114	309418	OR1
+	840	384435511	slr1305	SYNGTS_0282	-	-	regulatory component of sensory transduction system Rre41	309649	312171	OF95
+	485	384435512	slr1306	SYNGTS_0283	-	-	hypothetical protein	312258	313715	OF96
-	164	384435513	sll1188	SYNGTS_0284	-	-	hypothetical protein	313705	314199	OR1
-	283	384435514	lgt	SYNGTS_0285	-	-	prolipoprotein diacylglyceryl transferase	314255	315106	OR1
-	216	384435515	sll1186	SYNGTS_0286	-	-	hypothetical protein	315134	315784	OR1
-	340	384435516	hemF	SYNGTS_0287	-	-	coproporphyrinogen III oxidase	315882	316904	OR1
-	240	384435517	ho1	SYNGTS_0288	-	-	heme oxygenase	317127	317849	OR1
+	195	384435518	slr1307	SYNGTS_0289	-	-	hypothetical protein	317984	318571	OF97
+	78	384435519	rpl28	SYNGTS_0290	-	-	50S ribosomal protein L28	318661	318897	OF98
+	477	384435520	slr0962	SYNGTS_0291	-	-	hypothetical protein	319096	320529	OF99
-	220	384435521	sll0943	SYNGTS_0292	-	-	hypothetical protein	320785	321447	OR1
