Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
-	468	15789390	-	VNG0056H	-	COG3436L	hypothetical protein	50564	51970	OR1
+	391	15789391	-	VNG0057H	-	-	hypothetical protein	53192	54367	OF13
-	349	15789392	-	VNG0058H	-	-	hypothetical protein	54696	55745	OR1
+	424	15789393	-	VNG0059H	-	COG3385L	hypothetical protein	56287	57561	OF14
-	333	15789394	lpg	VNG0060G	-	COG0438M	LPS glycosyltransferase	57660	58661	OR1
+	451	15789395	-	VNG0061C	-	COG3119P	hypothetical protein	58827	60182	OF15
-	338	15789396	lpb	VNG0062G	-	COG0438M	LPS biosynthesis protein	60609	61625	OR1
-	328	15789397	galE2	VNG0063G	-	COG0451MG	UDP-glucose 4-epimerase	61700	62686	OR1
+	238	15789398	graD3	VNG0064G	-	COG1209M	glucose-1-phosphate thymidylyltransferase	62927	63643	OF16
+	309	15789399	gmd	VNG0065G	-	COG0451MG	GDP-D-mannose dehydratase	63881	64810	OF17
+	76	15789400	-	VNG0066H	-	COG2886S	hypothetical protein	64976	65206	OF18
+	89	15789401	-	VNG0067H	-	COG2405R	hypothetical protein	65203	65472	OF18
+	53	15789402	-	VNG0068H	-	-	hypothetical protein	65671	65832	OF18
+	65	15789403	-	VNG0069H	-	-	hypothetical protein	66054	66251	OF19
+	97	15789404	-	VNG0070H	-	COG2026JD	hypothetical protein	66241	66534	OF19
-	144	15789405	-	VNG0072H	-	COG2402R	hypothetical protein	67057	67491	OR1
+	98	15789406	-	VNG0073C	-	COG0451MG	hypothetical protein	67908	68204	OF19
+	74	15789407	-	VNG0075H	-	COG1349KG	hypothetical protein	68290	68514	OF20
-	39	15789408	-	VNG0076H	-	-	hypothetical protein	69300	69419	OR1
+	260	15789409	-	VNG0077H	-	-	hypothetical protein	69967	70749	OF21
-	71	15789410	-	VNG0079H	-	-	hypothetical protein	71127	71342	OR1
+	143	15789411	-	VNG0080H	-	COG5652S	hypothetical protein	71317	71748	OF22
+	297	15789412	moaE	VNG0081G	-	COG0314H	bifunctional molybdopterin-guanine dinucleotide biosynthesis protein MobB/MoaE	71811	72704	OF23
-	278	15789413	moeB	VNG0084G	-	COG0476H	molybdenum cofactor biosynthesis protein	72708	73544	OR1
+	367	15789414	moaA	VNG0085G	-	COG2896H	hypothetical protein	73639	74742	OF24
-	631	16554458	moeA2	VNG0086Gm	-	COG0303H	LysR family transcriptional regulator	74752	76647	OR1
-	407	15789416	moeA1	VNG0090G	-	COG0303H	molybdenum cofactor biosynthesis protein	76644	77867	OR1
-	245	15789417	pimT1	VNG0089G	-	COG2518O	L-isoaspartyl protein carboxyl methyltransferase	77923	78660	OR1
-	304	15789418	-	VNG0091C	-	-	hypothetical protein	78683	79597	OR1
-	221	15789419	-	VNG0094C	-	COG1326R	hypothetical protein	79662	80327	OR1
-	313	15789420	-	VNG0096C	-	COG2309E	hypothetical protein	80387	81328	OR1
+	335	15789421	gapB	VNG0095G	-	COG0057G	glyceraldehyde-3-phosphate dehydrogenase	81452	82459	OF25
+	128	15789422	hsp2	VNG0097G	-	COG0071O	Hsp2	82540	82926	OF26
-	285	15789423	rimK	VNG0098G	-	COG0189HJ	RimK	82932	83789	OR1
-	176	15789424	rpl10e	VNG0099G	-	COG0197J	50S ribosomal protein L10	83885	84415	OR1
-	74	15789425	cspD1	VNG0101G	-	COG1278K	cold shock protein	84617	84841	OR1
-	218	15789426	-	VNG0102C	-	COG0546R	hypothetical protein	84927	85583	OR1
-	323	15789427	serA3	VNG0104G	-	COG0111HE	SerA3	85640	86611	OR1
-	161	15789428	-	VNG0105H	-	-	hypothetical protein	86734	87219	OR1
+	499	15789429	rmeM	VNG0106G	-	COG0286V	RmeM	87668	89167	OF27
+	475	15789430	rmeS	VNG0107G	-	COG0732V	RmeS	89160	90587	OF27
+	1000	15789431	rmeR	VNG0108G	-	COG0610V	RmeR	90639	93641	OF27
+	241	15789432	-	VNG0110C	-	COG1451R	hypothetical protein	93634	94359	OF27
-	177	15789433	-	VNG0112H	-	COG3385L	hypothetical protein	96010	96543	OR1
+	225	15789434	-	VNG0113H	-	COG3413R	hypothetical protein	97444	98121	OF27
+	260	15789435	yusZ1	VNG0115G	-	COG4221R	oxidoreductase	98226	99008	OF28
-	274	15789436	-	VNG0116H	-	-	hypothetical protein	100891	101715	OR1
-	91	15789437	-	VNG0117H	-	-	hypothetical protein	102034	102309	OR1
-	127	15789438	-	VNG0118H	-	-	hypothetical protein	102309	102692	OR1
-	52	15789439	-	VNG0119H	-	-	hypothetical protein	102863	103021	OR1
-	41	15789440	-	VNG0120H	-	-	hypothetical protein	103021	103146	OR1
+	163	15789441	-	VNG0121H	-	COG1430S	hypothetical protein	103514	104005	OF29
+	642	15789442	trp1	VNG0123G	-	COG1132V	ABC transport protein	104073	106001	OF30
+	260	15789443	-	VNG0124C	-	COG1402R	hypothetical protein	106009	106791	OF30
-	128	15789444	-	VNG0125H	-	-	hypothetical protein	106803	107189	OR1
-	109	15789445	-	VNG0127C	-	COG2098S	hypothetical protein	107233	107562	OR1
+	259	15789446	-	VNG0128C	-	COG0451MG	hypothetical protein	107649	108428	OF30
+	289	15789447	hsp4	VNG0129G	-	COG0501O	Hsp4	108694	109563	OF31
+	60	15789448	-	VNG0130H	-	-	hypothetical protein	109649	109831	OF32
-	204	15789449	-	VNG0132C	-	-	hypothetical protein	109834	110448	OR1
+	474	15789450	rpa	VNG0133G	-	COG1599L	replication factor A	110769	112193	OF33
+	150	15789451	hpyA	VNG0134G	-	COG2036B	HpyA	112247	112699	OF34
+	338	15789452	aup	VNG0136G	-	COG0123BQ	acetoin utilization protein	112696	113712	OF34
-	452	15789453	cca	VNG0137G	-	COG1746J	tRNA CCA-pyrophosphorylase	113691	115049	OR1
+	83	15789454	-	VNG0138H	-	-	hypothetical protein	115898	116149	OF34
+	174	15789455	-	VNG0139H	-	-	hypothetical protein	116234	116758	OF35
+	70	15789456	-	VNG0140H	-	-	hypothetical protein	116881	117093	OF36
-	88	15789457	-	VNG0141H	-	-	hypothetical protein	117313	117579	OR1
-	134	15789458	-	VNG0142C	-	COG3355K	hypothetical protein	117867	118271	OR1
-	137	15789459	-	VNG0143H	-	-	hypothetical protein	118287	118700	OR1
+	145	15789460	-	VNG0144H	-	COG3439S	hypothetical protein	118615	119052	OF37
+	78	15789461	-	VNG0146H	-	-	hypothetical protein	119518	119754	OF38
-	155	15789462	-	VNG0147C	-	COG0864K	hypothetical protein	119759	120226	OR1
-	36	15789463	-	VNG0148H	-	-	hypothetical protein	120254	120364	OR1
+	757	15789464	zntA	VNG0149G	-	COG2217P	hypothetical protein	120602	122875	OF39
-	223	15789465	-	VNG0150H	-	COG0785O	hypothetical protein	122890	123561	OR1
-	93	15789466	-	VNG0151C	-	-	hypothetical protein	123558	123839	OR1
-	222	15789467	prrC	VNG0152G	-	COG1999R	regulatory protein	124088	124756	OR1
-	362	15789468	-	VNG0153C	-	COG1077D	hypothetical protein	125012	126100	OR1
-	465	15789469	merA	VNG0154G	-	COG1249C	mercury(II) reductase	126179	127576	OR1
+	232	15789470	-	VNG0156C	-	COG3413R	hypothetical protein	127692	128390	OF40
+	410	15789471	oxlT	VNG0157G	-	COG2223P	oxalate/formate antiporter	128484	129716	OF41
-	318	15789472	kdgK	VNG0158G	-	COG0524G	2-keto-3-deoxygluconate kinase	129737	130693	OR1
-	659	15789473	mutL	VNG0159G	-	COG0323L	DNA mismatch repair protein	130717	132696	OR1
+	864	15789474	boa1	VNG0160G	-	COG3413R	bacterio-opsin activator-like protein	132683	135277	OF42
+	429	15789475	gdhB	VNG0161G	-	COG0334E	glutamate dehydrogenase	135504	136793	OF43
+	600	15789476	alkK	VNG0162G	-	COG0318IQ	AlkK	136676	138478	OF43
-	871	15789477	mutS1	VNG0163G	-	COG0249L	DNA mismatch repair protein MutS	138494	141109	OR1
-	339	15789478	hef	VNG0164G	-	COG0309O	hydrogenase expression/formation	141181	142200	OR1
+	253	15789479	psmB	VNG0166G	-	COG0638O	proteasome subunit alpha	142335	143096	OF43
+	52	15789480	-	VNG0167H	-	-	hypothetical protein	143339	143497	OF44
-	234	15789481	-	VNG0168H	-	-	hypothetical protein	143498	144202	OR1
-	209	16554459	-	VNG0170Cm	-	COG2761Q	polyketide biosynthesis dithiol-disulfide isomerase	144354	144983	OR1
+	240	15789483	-	VNG0171C	-	COG1637L	hypothetical protein	145185	145907	OF45
-	863	15789484	mutS2	VNG0172G	-	COG0249L	DNA mismatch repair protein MutS	145879	148470	OR1
+	776	15789485	cat1	VNG0174G	-	COG0531E	cationic amino acid transporter	148838	151168	OF46
+	228	15789486	trkA1	VNG0175G	-	COG0569P	TRK potassium uptake system protein	151174	151860	OF46
-	246	15789487	-	VNG0176H	-	COG1247M	hypothetical protein	151875	152615	OR1
-	196	15789488	rpl15e	VNG0177G	-	COG1632J	50S ribosomal protein L15	152767	153357	OR1
-	326	15789489	-	VNG0178H	-	-	hypothetical protein	153490	154470	OR1
-	300	15789490	-	VNG0179C	-	COG0478T	hypothetical protein	154694	155596	OR1
-	274	15789491	hop	VNG0180G	-	COG5524R	Hop	155681	156505	OR1
+	272	15789492	lpl	VNG0181G	-	COG0095H	Lpl	156613	157431	OF46
+	275	15789493	xthA	VNG0183G	-	COG0648L	hypothetical protein	157481	158308	OF46
+	255	15789494	-	VNG0184H	-	COG2226H	hypothetical protein	158525	159292	OF46
+	363	15789495	pepB1	VNG0186G	-	COG2309E	aminopeptidase	159342	160433	OF46
-	245	15789496	-	VNG0187H	-	-	hypothetical protein	160464	161201	OR1
+	459	15789497	-	VNG0188H	-	-	hypothetical protein	161207	162586	OF46
+	479	15789498	-	VNG0189C	-	COG1078R	hypothetical protein	162656	164095	OF47
+	320	15789499	-	VNG0190C	-	COG0037D	hypothetical protein	164151	165113	OF48
-	375	15789500	ftsZ2	VNG0192G	-	COG0206D	cell division protein FtsZ	165152	166279	OR1
-	55	15789501	-	VNG0194H	-	COG0864K	hypothetical protein	166336	166503	OR1
-	146	15789502	-	VNG0195H	-	COG1040R	hypothetical protein	166681	167121	OR1
-	86	15789503	-	VNG0196H	-	-	hypothetical protein	167794	168054	OR1
-	342	15789504	-	VNG0197C	-	COG0392S	hypothetical protein	168184	169212	OR1
-	222	15789505	-	VNG0198H	-	-	hypothetical protein	169721	170389	OR1
-	122	15789506	-	VNG0199H	-	-	hypothetical protein	170386	170754	OR1
-	225	15789507	-	VNG0200C	-	-	hypothetical protein	170747	171424	OR1
-	240	15789508	-	VNG0204H	-	-	hypothetical protein	171924	172646	OR1
-	287	15789509	-	VNG0203C	-	-	hypothetical protein	172643	173506	OR1
-	95	15789510	-	VNG0205H	-	-	hypothetical protein	173537	173824	OR1
+	118	15789511	-	VNG0207H	-	-	hypothetical protein	175115	175471	OF49
+	149	15789512	-	VNG0208H	-	-	hypothetical protein	175471	175920	OF49
+	344	15789513	-	VNG0209H	-	COG4974L	hypothetical protein	175913	176947	OF49
-	67	15789514	-	VNG0210H	-	COG0864K	hypothetical protein	177093	177296	OR1
+	255	15789515	-	VNG0212H	-	-	hypothetical protein	177587	178354	OF49
+	334	15789516	-	VNG0213H	-	-	hypothetical protein	178317	179321	OF49
-	219	15789517	-	VNG0214C	-	-	hypothetical protein	179707	180366	OR1
-	857	15789518	-	VNG0215C	-	COG4983S	hypothetical protein	180916	183489	OR1
-	69	15789519	-	VNG0216H	-	-	hypothetical protein	183649	183858	OR1
+	206	15789520	-	VNG0217H	-	-	hypothetical protein	184345	184965	OF49
-	548	15789521	gspE1	VNG0218G	-	COG0630NU	type II secretion system protein	184985	186631	OR1
+	185	15789522	-	VNG0219H	-	-	hypothetical protein	187174	187731	OF50
+	190	15789523	-	VNG0220H	-	-	hypothetical protein	187731	188303	OF50
+	420	15789524	-	VNG0222C	-	COG1721R	hypothetical protein	188303	189565	OF50
-	318	15789525	moxR	VNG0223G	-	COG0714R	methanol dehydrogenase regulatory protein	190053	191009	OR1
+	356	15789526	htrA	VNG0226G	-	COG0265O	hypothetical protein	191310	192380	OF50
-	87	15789527	-	VNG0227H	-	COG1430S	hypothetical protein	192372	192635	OR1
+	183	15789528	guaAa	VNG0228G	-	COG0518F	GMP synthase subunit A	192826	193377	OF51
+	624	15789529	-	VNG0230C	-	COG3356S	hypothetical protein	193384	195258	OF51
+	236	15789530	-	VNG0231C	-	COG0491R	hypothetical protein	195274	195984	OF51
-	79	15789531	-	VNG0233H	-	-	hypothetical protein	196042	196281	OR1
-	125	15789532	-	VNG0234C	-	COG1382O	hypothetical protein	196288	196665	OR1
-	44	15789533	-	VNG0237H	-	COG1996K	DNA-directed RNA polymerase subunit P	197052	197186	OR1
-	105	15789534	rpl37ae	VNG0239C	-	COG1997J	50S ribosomal protein L37	197195	197512	OR1
+	72	15789535	-	VNG0238H	-	-	hypothetical protein	197630	197848	OF51
-	240	15789536	-	VNG0240C	-	COG4031R	hypothetical protein	197876	198598	OR1
-	434	16554460	truD	VNG0243Cm	-	COG0585S	tRNA pseudouridine synthase D	198651	199955	OR1
-	112	16554461	-	VNG0240a	-	COG1990S	peptidyl-tRNA hydrolase	199955	200293	OR1
+	204	15789538	-	VNG0244H	-	COG2881S	hypothetical protein	200377	200991	OF52
+	195	15789539	dcd	VNG0245G	-	COG0717F	deoxycytidine triphosphate deaminase	201025	201612	OF52
+	302	15789540	-	VNG0247C	-	COG1992S	hypothetical protein	201609	202517	OF52
-	254	15789541	-	VNG0248C	-	-	hypothetical protein	202509	203273	OR1
-	810	15789542	fbr	VNG0249G	-	COG3794C	cytochrome-like protein	203276	205708	OR1
-	249	15789543	-	VNG0250C	-	COG1701S	hypothetical protein	205790	206539	OR1
-	279	15789544	-	VNG0251C	-	COG1829R	hypothetical protein	206579	207418	OR1
-	236	161349986	-	VNG0252C	-	COG1646R	geranylgeranylglyceryl phosphate synthase-like protein	207474	208184	OR1
-	323	15789546	tfbG	VNG0254G	-	COG1405K	transcription initiation factor IIB	208286	209257	OR1
+	199	15789547	-	VNG0255C	-	COG0328L	hypothetical protein	209439	210038	OF52
+	183	15789548	-	VNG0256H	-	-	hypothetical protein	210031	210582	OF52
-	116	15789549	-	VNG0258H	-	COG1695K	hypothetical protein	210639	210989	OR1
+	177	15789550	ipp	VNG0259G	-	COG0221C	inorganic pyrophosphatase	211101	211634	OF52
+	52	15789551	-	VNG0261H	-	-	hypothetical protein	211694	211852	OF53
+	371	15789552	-	VNG0262C	-	COG0618R	hypothetical protein	211896	213011	OF53
+	452	15789553	-	VNG0264H	-	COG3379S	hypothetical protein	213067	214425	OF53
-	357	15789554	ftsZ4	VNG0265G	-	COG0206D	cell division protein	214442	215515	OR1
+	189	15789555	-	VNG0266H	-	-	hypothetical protein	215499	216068	OF54
+	297	15789556	-	VNG0267H	-	COG0451MG	hypothetical protein	216068	216961	OF54
+	362	15789557	-	VNG0268C	-	COG0667C	hypothetical protein	216982	218070	OF54
+	305	15789558	-	VNG0270C	-	COG2814G	hypothetical protein	218415	219332	OF54
+	364	15789559	-	VNG0271C	-	-	hypothetical protein	219360	220454	OF54
+	155	15789560	-	VNG0272H	-	-	hypothetical protein	220482	220949	OF54
+	201	15789561	-	VNG0274C	-	COG0494LR	hypothetical protein	221005	221610	OF54
+	541	15789562	crtI3	VNG0277G	-	COG3349S	phytoene dehydrogenase	221649	223274	OF54
-	316	15789563	-	VNG0280H	-	-	hypothetical protein	223518	224468	OR1
+	373	15789564	soxB	VNG0281G	-	COG0665E	sarcosine oxidase	224467	225588	OF54
-	144	15789565	-	VNG0283C	-	COG0071O	hypothetical protein	225590	226024	OR1
-	52	15789566	-	VNG0282H	-	-	hypothetical protein	226021	226179	OR1
+	564	15789567	-	VNG0284C	-	COG1031C	hypothetical protein	227135	228829	OF55
+	129	15789568	-	VNG0285C	-	COG1943L	hypothetical protein	229052	229441	OF56
+	384	15789569	-	VNG0286C	-	COG0675L	hypothetical protein	229443	230597	OF56
-	142	16554462	-	VNG0287a	-	COG3269R	hypothetical protein	230650	231078	OR1
-	220	15789571	-	VNG0289H	-	COG0727R	hypothetical protein	231155	231817	OR1
-	260	15789572	-	VNG0291H	-	COG0491R	hypothetical protein	231863	232645	OR1
-	89	15789573	-	VNG0293H	-	-	hypothetical protein	232683	232952	OR1
+	174	15789574	pnm	VNG0294G	-	COG2226H	N-methyltransferase-like protein	233317	233841	OF56
+	305	15789575	-	VNG0296H	-	COG0463M	hypothetical protein	233894	234811	OF57
-	272	15789576	-	VNG0297H	-	COG2159R	hypothetical protein	234808	235626	OR1
-	201	15789577	-	VNG0298H	-	COG2860S	hypothetical protein	235698	236303	OR1
-	239	15789578	-	VNG0300C	-	COG1912S	hypothetical protein	236318	237037	OR1
-	177	15789579	-	VNG0301C	-	COG1056H	nicotinamide-nucleotide adenylyltransferase	237133	237666	OR1
+	702	15789580	lon	VNG0303G	-	COG1067O	ATP-dependent protease Lon	237843	239951	OF58
-	173	15789581	-	VNG0306C	-	COG0350L	hypothetical protein	240007	240528	OR1
+	251	15789582	trpC	VNG0305G	-	COG0134E	hypothetical protein	240541	241296	OF59
+	430	15789583	trpB	VNG0307G	-	COG0133E	tryptophan synthase subunit beta	241293	242585	OF59
+	276	16554463	trpA	VNG0308Gm	-	COG0159E	tryptophan synthase subunit alpha	242582	243412	OF59
+	265	15789585	-	VNG0309C	-	COG1830G	fructose-bisphosphate aldolase	243437	244234	OF59
-	133	15789586	-	VNG0311H	-	-	hypothetical protein	244231	244632	OR1
+	387	15789587	-	VNG0310C	-	COG1465E	3-dehydroquinate synthase	244639	245802	OF59
-	99	15789588	-	VNG0312H	-	-	hypothetical protein	245809	246108	OR1
-	195	15789589	aroD	VNG0314G	-	COG0710E	3-dehydroquinate dehydratase	246267	246854	OR1
-	319	15789590	tfbF	VNG0315G	-	COG1405K	transcription initiation factor IIB	247008	247967	OR1
+	237	15789591	-	VNG0316C	-	COG0614P	hypothetical protein	248258	248971	OF60
-	614	15789592	dpg	VNG0318G	-	COG0392S	dolichol-P-glucose synthetase	248973	250817	OR1
+	80	15789593	-	VNG0319H	-	-	hypothetical protein	251021	251263	OF61
-	203	15789594	-	VNG0320H	-	COG3398S	hypothetical protein	251273	251884	OR1
-	392	15789595	ids	VNG0321G	-	COG0330O	Ids	251940	253118	OR1
-	169	15789596	-	VNG0322H	-	COG1585OU	hypothetical protein	253158	253667	OR1
-	58	15789597	-	VNG0323H	-	-	hypothetical protein	253700	253876	OR1
-	579	15789598	pykA	VNG0324G	-	COG0469G	pyruvate kinase	253914	255653	OR1
-	689	15789599	metG	VNG0326G	-	COG0143J	methionyl-tRNA synthetase	255742	257811	OR1
-	355	15789600	gadD	VNG0327G	-	COG0076E	L-tyrosine decarboxylase	257872	258939	OR1
-	428	15789601	caaX	VNG0329G	-	COG0501O	zinc metalloproteinase-like protein	258965	260251	OR1
-	752	15789602	ppsA	VNG0330G	-	COG0574G	phosphoenolpyruvate synthase	260291	262549	OR1
+	129	15789603	-	VNG0331H	-	-	hypothetical protein	262683	263072	OF62
-	301	15789604	-	VNG0332C	-	COG0384R	hypothetical protein	263073	263978	OR1
+	230	15789605	gptA1	VNG0335G	-	COG2236R	purine phosphoribosyltransferase	264253	264945	OF63
+	206	16554464	-	VNG0335a	-	COG0005F	purine nucleoside phosphorylase	265000	265620	OF64
-	424	15789606	-	VNG0337H	-	COG3385L	hypothetical protein	265595	266869	OR1
+	129	16554465	-	VNG0335b	-	COG0005F	purine nucleoside phosphorylase	266878	267267	OF65
+	233	15789607	-	VNG0339H	-	-	hypothetical protein	267340	268041	OF66
-	286	15789608	-	VNG0340C	-	COG1354S	hypothetical protein	268046	268906	OR1
-	1190	15789609	smc1	VNG0342G	-	COG1196D	chromosome segregation protein	268899	272471	OR1
-	94	15789610	-	VNG0343H	-	-	hypothetical protein	272493	272777	OR1
+	495	15789611	gatB	VNG0345G	-	COG0064J	aspartyl/glutamyl-tRNA amidotransferase subunit B	272907	274394	OF67
-	53	15789612	-	VNG0346H	-	-	hypothetical protein	274440	274601	OR1
-	160	15789613	-	VNG0347H	-	-	hypothetical protein	274891	275373	OR1
+	829	16554466	topA	VNG0349Gm	-	COG0550L	DNA topoisomerase I	275494	277983	OF68
+	429	15789615	-	VNG0351C	-	COG1602S	hypothetical protein	278123	279412	OF69
+	72	15789616	-	VNG0352H	-	-	hypothetical protein	279446	279664	OF69
+	256	15789617	-	VNG0354C	-	COG1266R	hypothetical protein	279704	280474	OF69
-	627	15789618	htr14	VNG0355G	-	COG0840NT	Htr14	280487	282370	OR1
+	142	15789619	-	VNG0357H	-	-	hypothetical protein	282398	282826	OF69
+	300	15789620	-	VNG0359C	-	COG0785O	hypothetical protein	282823	283725	OF69
-	159	15789621	-	VNG0360C	-	-	hypothetical protein	283764	284243	OR1
+	333	15789622	-	VNG0361C	-	COG3582R	hypothetical protein	284272	285273	OF69
+	264	15789623	nfi	VNG0363G	-	COG1515L	hypothetical protein	285278	286072	OF69
+	273	15789624	yusZ3	VNG0364G	-	COG4221R	oxidoreductase	286131	286952	OF69
-	347	15789625	arsA1	VNG0365G	-	COG0003P	arsenical pump-driving ATPase	286968	288011	OR1
+	114	15789626	-	VNG0367H	-	COG3631R	hypothetical protein	288101	288445	OF70
+	171	15789627	-	VNG0368C	-	COG1546R	hypothetical protein	288491	289006	OF70
-	235	16554467	-	VNG0370Hm	-	COG0613R	metal-dependent phosphoesterase	289515	290222	OR1
+	456	15789629	acd1	VNG0371G	-	COG1960I	acyl-CoA dehydrogenase	290169	291539	OF70
+	122	15789630	-	VNG0373H	-	-	hypothetical protein	291616	291984	OF71
-	145	15789631	nusG	VNG0374G	-	COG0250K	transcription antitermination protein NusG	291994	292431	OR1
-	57	15789632	secE	VNG0375G	-	COG2443U	preprotein translocase subunit SecE	292433	292606	OR1
-	396	15789633	ftsZ1	VNG0376G	-	COG0206D	cell division protein FtsZ	292670	293860	OR1
-	390	15789634	-	VNG0378C	-	COG1650S	hypothetical protein	293888	295060	OR1
-	318	15789635	caa	VNG0380G	-	COG0530P	cation antiporter	295310	296266	OR1
+	266	15789636	aroE	VNG0382G	-	COG0169E	hypothetical protein	296344	297144	OF72
+	122	15789637	-	VNG0383H	-	COG3743S	hypothetical protein	297162	297530	OF72
+	488	15789638	trpE2	VNG0384G	-	COG0147EH	anthranilate synthase subunit alpha	297545	299011	OF72
+	191	16554468	trpG2	VNG0386Gm	-	COG0512EH	anthranilate synthase subunit beta	299008	299583	OF72
+	285	15789640	ilvE1	VNG0387G	-	COG0115EH	branched-chain amino acid aminotransferase	299568	300425	OF72
+	156	15789641	-	VNG0388C	-	COG2146PR	hypothetical protein	300471	300941	OF72
-	96	15789642	-	VNG0389C	-	COG3357K	hypothetical protein	300938	301228	OR1
+	342	15789643	graD1	VNG0390G	-	COG1208MJ	glucose-1-phosphate thymidylyltransferase	301248	302276	OF72
-	240	15789644	-	VNG0391C	-	COG0018J	hypothetical protein	302277	302999	OR1
-	382	15789645	-	VNG0393C	-	COG2237S	hypothetical protein	303046	304194	OR1
-	300	15789646	-	VNG0394C	-	COG1340S	hypothetical protein	304268	305170	OR1
+	137	15789647	-	VNG0396C	-	COG2090S	hypothetical protein	305431	305844	OF73
+	265	15789648	nthA1	VNG0398G	-	COG0177L	endonuclease III	305902	306699	OF74
-	155	15789649	-	VNG0399H	-	-	hypothetical protein	306701	307168	OR1
